Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Central African Republic,140,999,777,999,777,999,1.368994599,-0.985820952,15.66066631,777,999
Sri Lanka,144,1.098981863,-0.616591873,0.433334406,0.008884514,0.827190765,0.490322286,-0.685220792,2.741109063,0.117289656,4.386292964
Chad,148,999,999,999,-0.947153128,3.281542238,777,999,1.673769024,1.183754102,-0.406608402
Chile,152,-0.067171277,0.189936114,0.287223381,0.320506825,0.146368426,0.677777267,-0.287786223,0.180325868,0.424829755,0.226788308
China,156,0.250078698,0.257715742,0.424965889,0.332658264,0.356578422,0.225194999,-0.065143363,0.25426292,0.07838224,0.113582563
Taiwan,158,0.066734676,0.156993988,0.109745639,-0.041885415,0.108582097,0.081289275,0.076988723,0.442437874,0.111088526,0.079090229
Christmas Island,162,999,999,999,999,777,999,0.523681171,777,999,999
Cocos (Keeling) Islands,166,999,999,999,999,999,999,999,777,999,999
Colombia,170,-0.046516497,0.24459844,0.133233294,0.587081086,0.498705492,0.507575784,-0.045064808,-0.101394709,0.26375698,0.331421904
Comoros,174,999,999,999,999,999,999,999,-0.765138761,777,999
Mayotte,175,999,999,999,999,999,999,999,999,7.573694147,-0.961008838
Congo (Brazzaville),178,999,999,125.6030911,-0.961168831,777,999,0.261079169,0.916275032,-0.194436183,2.968215381
Congo (Kinshasa),180,999,0,16.3575,2.401320275,0.0537856,-0.916784316,3.66810997,-0.20094755,1.448604866,-0.646607041
Cook Islands,184,999,999,1.359760504,-0.73883372,8.585092127,-0.839470143,777,999,999,777
Costa Rica,188,-0.218855728,-1.23E-05,0.366630648,0.313715928,0.580750216,-0.019267801,0.042708078,0.552362344,0.155205178,0.270306841
Croatia,191,13.3970528,1.913912327,0.065228359,-0.723037635,-0.437535925,1.499061208,-0.563267117,1.699734571,1.800559776,-0.714199981
Cuba,192,-0.267889951,0.887600142,-0.812113826,20.27696634,-0.858593137,0.658374793,777,999,999,777
Cyprus,196,1.080500474,-0.388883371,0.035076281,0.697502369,0.085160396,1.596616139,-0.70766807,0.160937773,-0.296037647,-0.550075499
Czech Republic,203,-0.048105049,1.45094895,0.284326437,-0.602738516,-0.034841897,0.81325303,-0.314348614,0.702152748,0.544091311,-0.124766104
Benin,204,1.339931239,777,999,1.861540036,-0.032993169,0.32698254,-0.127372748,0.138933977,1.56636839,0.25547368
Denmark,208,0.340795035,0.588792333,0.05715848,0.485277762,0.262770168,0.078731734,-0.113195508,-0.225224653,-0.699536037,0.528948306
Dominica,212,16.87084713,-0.548613477,0.43374563,1.283415693,-0.644348621,-0.218250267,0.739164593,-0.318593251,0.650993199,1.106878346
Dominican Republic,214,-0.294291127,0.306099821,0.025914501,0.16250923,0.471916183,-0.150243998,0.105871349,0.412282788,0.33058071,-0.27002096
Ecuador,218,-0.279079726,-0.042489108,0.241641387,0.135081563,0.328966175,0.415475686,0.179215254,-0.001107465,0.481055467,-0.068905263
El Salvador,222,-0.478366518,-0.155036578,1.000145172,-0.266543577,0.68628649,-0.003555912,0.493484567,-0.017574269,-0.041749053,-0.066454285
Equatorial Guinea,226,999,999,999,-0.694984448,38.35627788,-0.967611336,54.86525,777,999,-0.028061434
