id,Country,2005,2006,2007,2008,2009,2010,2011,2012
328,Guyana,547335,1009991,450631,544375,885397,1738208,3108909,2783474
332,Haiti,1611140,1365625,1036771,2916296,721440,5853068,3387297,2228365
334,Heard Island and Mcdonald Islands,0,275218,0,0,0,0,0,0
336,Vatican City,13263,0,66003,0,0,20324,5222,0
340,Honduras,41674360,51444032,66006700,79757498,44403871,49882426,55034367,51984706
344,Hong Kong,215125255,287766006,312866445,278343063,306191689,285498875,303332818,289205563
348,Hungary,21340384,27841542,36848109,47954265,41789992,47668088,25230000,23492235
352,Iceland,4654839,7536282,10954976,6971390,4149382,4273903,3219885,4123274
356,India,138469464,168577905,217588982,241098216,209682540,235751537,329446327,456402055
360,Indonesia,42289704,47606786,59148823,55944933,60221295,73928559,74251461,75106770
364,Iran,1644755,2546551,2336812,3623848,2483563,9416099,4219808,3944259
368,Iraq,1885747,8963479,13606976,14616158,19096133,8139258,21039245,20448886
372,Ireland,68256711,62154421,82587499,71138362,95243902,71324785,88719524,101457377
376,Israel,68232543,73380821,81382636,68247406,53899989,62298899,71890527,68962204
380,Italy,305408459,293005335,329171050,307343468,294871941,301088370,317100126,270690820
384,Cote d'Ivoire,129542,442803,500863,854581,468664,850167,444632,677112
388,Jamaica,34176009,36256683,26093009,14015916,8537849,9953372,11740698,11533086
392,Japan,695737404,738751539,655118137,724430311,685254539,730827773,736207537,862523938
398,Kazakhstan,7967688,2415398,9743559,10601193,3825073,14015083,8564427,7689451
400,Jordan,6531168,12805282,12309015,16417758,12410266,15133359,11762170,26026158
404,Kenya,2182929,5406897,7190665,7262359,3592907,4225226,6923311,2797756
408,North Korea,0,0,0,0,0,0,0,0
410,South Korea,308902912,341744303,344593036,344051444,264624545,360266013,420777130,406004982
414,Kuwait,28393324,69393127,126644573,55777515,31011677,26941552,24281151,27968424
417,Kyrgyzstan,202838,233151,51406,292099,57849,621261,137837,110378
418,Lao People's Democratic Republic,0,0,8690,189112,7269,80371,47024,930558
422,Lebanon,7465760,12309492,11296253,12096756,8601800,12892418,8288352,11954539
426,Lesotho,9338,125350,770934,0,0,0,6526,0
428,Latvia,2009439,2160760,4296927,8149037,2411978,5486684,7117604,6927087
430,Liberia,383867,120922,147602,221870,666743,37808,2484983,464826
434,Libyan Arab Jamahiriya,178836,3786824,4823075,18343817,3650538,4111058,1404081,2589927
438,Liechtenstein,35503,122859,191183,221042,44174,74093,0,452926
440,Lithuania,3942493,5085780,12141577,11909476,4544846,4310292,7758945,8475723
442,Luxembourg,6236417,9001136,12858350,25114949,35410613,38818379,47742275,39816348
446,Macau; SAR of China,253535,452243,1416116,866827,504933,392595,348343,575454
450,Madagascar,458613,385414,1205832,2165916,2429196,647880,757319,1764492
