Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Barbados,52,0.74050226,-0.2042882,-0.100466808,-0.06157688,-0.158296938,0.03105025,0.199445044,0.898124855,-0.029092463,-0.416545675
Belgium,56,-0.080814278,0.012085141,0.029868723,-0.018746841,0.055549222,0.160945068,-0.028897632,0.015134644,0.322487912,0.027455109
Bermuda,60,0.104525557,-0.10599398,0.287068587,0.427229432,-0.226454927,0.370516262,0.352167923,0.153705953,-0.399806245,-0.676852188
Bhutan,64,999,777,999,999,999,777,999,0.383155089,777,999
Bolivia,68,-0.676789372,-0.349639147,1.908408348,1.003535683,0.064283918,-0.43919543,1.545919836,1.079970336,0.343308606,0.621952859
Bosnia and Herzegovina,70,-0.280684692,-0.874297957,2.054443157,0.455466464,5.53329611,2.663291875,0.835378011,-0.862838776,-0.168580837,6.594206991
Botswana,72,777,999,0.130124777,5.857480847,-0.320715659,0.485681807,0.6489166,1.657481637,-0.47216082,2.292098058
Brazil,76,-0.132041334,0.327819729,0.252083281,-0.119440388,0.085757236,0.131674506,-0.05623324,0.415100475,0.29714035,-0.088577302
Belize,84,1.22045273,-0.218496219,-0.261761606,0.00167847,-0.400734215,2.639105016,-0.91652386,5.725556925,0.087528424,0.063779748
British Indian Ocean Territories,86,999,777,999,999,999,999,999,999,999,999
Solomon Islands,90,999,999,999,777,999,999,999,777,999,999
British Virgin Islands,92,6.585988451,-0.368665628,1.794770277,0.49855009,0.146390303,-0.504729092,0.617015748,0.433420023,0.248491775,-0.20800439
Brunei,96,2.309933775,-0.311673822,1.034659441,0.191796312,-0.492458258,4.211857859,-0.777731267,1.390629157,0.745559881,-0.091075912
Bulgaria,100,0.340027568,0.199240163,0.615365078,-0.413131052,1.503058374,0.324074817,-0.465078628,0.070428902,-0.538704482,1.454965704
Burma,104,-0.765576159,777,999,2.597561361,-0.84642807,777,999,28.96830189,-0.826345657,-0.091693093
Burundi,108,777,999,777,999,999,999,999,-0.203575548,777,999
Belarus,112,999,4.904844968,0.171221267,0.06398484,0.724086612,-0.394524001,0.162622014,-0.115540287,5.173025324,-0.428651204
Cambodia,116,1.832709101,-0.412601883,1.045881447,0.478460207,-0.474275766,1.153570329,-0.614292265,2.001471319,0.022147826,0.268861183
Cameroon,120,-0.923854881,9.374272727,-0.106671223,1.074168171,-0.283884057,3.452417746,-0.102197587,0.163038396,1.85426838,-0.630575138
Canada,124,0.01746439,0.071074015,0.047626937,0.046368796,0.079763495,-0.067562259,-0.3393411,0.388801207,0.067459376,0.073038542
Cape Verde,132,999,999,0.699775039,-0.795551975,2.505769772,0.092846821,-0.557373737,1.942865441,-0.919239771,777
Cayman Islands,136,0.245278729,0.198805854,0.842941555,0.147400823,0.10106619,-0.139494677,-0.160655515,0.615257772,-0.029592667,0.297049182
Central African Republic,140,999,0.986172161,3.967252985,-0.768474192,-0.921672588,0.004862444,1.954093977,0.393193525,-0.942249381,1.743102063
Sri Lanka,144,0.199396276,0.565160997,2.22928425,-0.677310179,-0.005208789,0.424481957,-0.228450166,2.292655579,0.002217886,-0.405725178
Chad,148,14.00256504,-0.824141468,-0.284166667,777,999,-0.942335766,1.085855806,777,999,999
Chile,152,-0.092738924,-0.152157565,0.626454367,0.076545697,0.083205551,0.177767102,-0.393149617,1.553414532,0.419187395,0.239510029
China,156,0.289864594,0.661881988,0.148477782,0.452950932,0.293034585,-0.0198536,0.035486654,0.635757091,0.232309123,0.210979534
Taiwan,158,0.046268315,0.02317006,-0.00708261,-0.007467468,-0.107633036,-0.003949631,-0.141448777,0.281177998,-0.182493677,-0.003856869
Christmas Island,162,0.1214,0.550383449,0.227079259,3.911455892,777,999,-0.789247695,1.93998568,777,999
Cocos (Keeling) Islands,166,777,999,999,999,-0.301588474,777,999,999,999,999
Colombia,170,0.050693634,0.055417498,0.401559611,0.552320889,-0.041366341,0.110121254,0.014057428,0.383134019,0.087392151,0.52922337
Comoros,174,999,999,999,999,999,999,999,999,0.08557047,777
Mayotte,175,999,999,999,999,999,999,999,-0.941719021,8.804480426,-0.026513738
Congo (Brazzaville),178,9.732224586,0.787433404,1.035697004,-0.500624795,-0.231722756,-0.504702693,6.837061424,0.980458423,0.661589229,-0.654725398
Congo (Kinshasa),180,777,999,19.65874248,0.686504563,0.565649786,-0.034149144,-0.271070181,-0.559871045,-0.501318875,0.313850422
Cook Islands,184,999,999,999,777,999,777,999,999,777,999
Costa Rica,188,0.263053634,0.518237187,0.104065409,0.270294809,0.113979354,0.046349745,-0.373882382,0.653365437,0.455669411,0.374111824
Croatia,191,0.032808625,-0.611318177,1.891910617,-0.565476448,2.696243578,0.419349664,-0.662159104,-0.109996135,0.389301003,0.565803866
Cuba,192,3.0965,777,999,777,999,999,999,777,999,777
Cyprus,196,0.980700028,1.510778483,-0.108819538,-0.017154726,0.466573263,1.415225059,-0.736331951,-0.430726238,1.451024353,0.045913578
Czech Republic,203,0.265155656,0.191334982,0.019132505,0.034149357,0.20598768,0.044351599,-0.278970388,0.603522873,0.611603872,0.279545908
Benin,204,5.251525773,2.519030736,1.704070587,0.208993145,1.0179573,1.703443514,-0.761261395,-0.841007862,0.246954331,-0.241559772
Denmark,208,0.233167317,0.195246618,0.15748466,-0.308500741,0.564457559,0.074918528,-0.338304967,-0.173635091,0.971315825,-0.377244132
Dominica,212,1.160843993,-0.749546655,0.660369419,2.268860711,-0.896190173,3.639978368,-0.386324407,0.070272861,0.671038288,-0.058124188
Dominican Republic,214,-0.372825089,0.216525057,-0.002012197,-0.036442204,0.383857947,-0.1063313,-0.372233943,1.27340308,0.37953815,0.013517325
Ecuador,218,0.122677722,-0.292873687,0.755646255,1.026714236,-0.262821111,0.265192417,0.739789181,1.060157798,-0.274917425,0.047875223
El Salvador,222,0.530874385,-0.321180431,0.251830084,0.05047866,0.536443254,-0.165178685,-0.156988401,-0.245476422,0.304797948,0.377864004
Equatorial Guinea,226,777,999,18.82296296,13.49702926,0.028186259,-0.94060894,4.118233047,2.014457315,-0.353746168,1.256317881
Ethiopia,231,9.970143634,-0.365130546,0.383961272,-0.787637202,2.525548586,0.569309268,0.907458568,-0.07504,0.179567721,-0.253972869
Eritrea,232,0.229222753,-0.264156275,3.469716608,-0.661230963,-0.958753844,14.26671791,777,999,999,-0.040944718
Estonia,233,-0.084560539,-0.489618981,0.631694112,0.800980802,0.845763211,-0.404701628,0.036261353,0.170101756,1.462558794,0.201812894
Faroe Islands,234,999,999,999,999,3.938557435,-0.789784143,3.305844872,2.616875356,-0.947662022,22.98301263
Falkland Islands (Islas Malvinas),238,999,999,999,999,999,777,999,-0.402033272,777,999
Fiji,242,0.277124796,-0.085796872,-0.31700276,0.321804022,0.238843208,-0.046849147,0.819561551,4.254080576,-0.381598662,-0.265869447
Finland,246,0.768689928,0.347833871,0.211811903,-0.135596898,0.484069521,-0.097300768,-0.563514515,0.021945837,4.125479384,-0.578208404
