id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
246,Finland,13005534,23002757,31003895,37570889,32476393,48197225,43507598,18990435,19407196,99471183,41956109
250,France,334916686,380733492,616580465,477561415,577453302,678302250,627078972,433799373,669629352,661921827,631003097
254,French Guiana,0,0,9305,4400,0,41952,79131,15630,4164,54022,117634
258,French Polynesia,251865,1942871,1416407,1221538,1629811,4791589,1314298,2362117,4367550,3192468,4491565
260,French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,0
262,Djibouti,5850,154477,0,52670,232339,118841,120028,221448,55743,122272,3763184
266,Gabon,61504,55173,30895,119904,18974200,688059,521284,326591,1386097,742061,1854961
268,Georgia,817407,871910,461198,887967,645063,1572994,4115546,1978632,2221096,974023,1797833
270,Gambia,12641,69000,140589,78899,561167,136745,80320,448300,253613,235353,32000
276,Germany,987705705,973071942,1009094682,1058101330,1178895447,1267285507,1562070103,1258258371,1529894009,1798822226,1982439225
288,Ghana,2758488,2776248,2480417,2647005,2329102,3664569,4770212,2777398,6596734,8862783,8933001
292,Gibraltar,2559,0,0,16371,0,0,0,0,0,0,3200
296,Kiribati,0,0,0,0,0,12750,0,0,0,0,5000
300,Greece,37135752,51324743,55438938,34665150,27166769,10755236,11045533,10042409,10462067,9760228,7614716
304,Greenland,5597,0,0,64739,12817,115782,346561,60521,17470,19485,14438
308,Grenada,61288,74522,46142,964836,21771,454494,59447,562498,161296,104938,22609
312,Guadeloupe,517723,305706,1314153,338420,226531,630253,246681,1798195,865965,169184,1261405
320,Guatemala,19589133,19127588,26657759,14579585,14863442,13418477,20894408,37596739,37832577,34625910,31489953
324,Guinea,9287,66228,92813,72162,279430,1011972,841934,163322,381176,561741,208449
328,Guyana,104341,241384,249632,332166,697676,235495,478875,418568,879650,824125,1524535
332,Haiti,2624422,2169226,918088,535825,1447086,609470,475675,608089,2052422,3948566,7193727
334,Heard and McDonald Islands,0,0,4027,12375,0,0,0,0,0,0,0
336,Vatican City,0,0,31126,39813,0,67685,0,134757,18349,0,0
340,Honduras,18130567,17250841,23656390,25979942,32649657,46353122,37312708,32783223,48108947,53903175,68297473
344,Hong Kong,143237402,125284902,156722056,132145598,161810471,172636940,195278057,181099692,203043647,237341851,228783007
348,Hungary,69861251,69121435,45136376,25273235,21383110,21739148,25960194,19929126,20205924,31472874,24428396
352,Iceland,910210,3830762,14612890,19822325,8730454,11466680,6782028,991888,693103,1886665,2767233
356,India,68819770,53693634,72276300,96364773,103003774,148252552,157162362,172004814,192758133,213298747,219951994
360,Indonesia,32351741,40032916,60891991,46531251,54676045,78675641,76555192,66070248,81670288,54372777,103634590
364,Iran,0,26466,14962,3155597,4649657,4141762,168130,6000,162805,395491,269490
368,Iraq,44996,3118468,4550592,7232727,124913560,38633673,21452459,15687560,21159313,74557126,137032892
372,Ireland,86697446,76829685,80418454,89879482,89872101,74249986,76951478,71237613,62210660,83342058,83248817
376,Israel,44714429,60426936,97624064,52232709,101249190,74756397,126753477,98590908,160795526,126111975,116792937
380,Italy,241512121,199477474,234011414,281835206,159082596,177096634,192343942,157145096,201840267,394175159,362168542
384,Cote d'Ivoire,727007,616361,1717661,1794695,3469005,6799529,2740303,942052,2232038,1585394,1773876
388,Jamaica,3702132,4841700,3157748,4857424,6006202,6490496,4964804,5971757,5565661,3294976,5337394
392,Japan,1114758833,1099762765,1068884222,1072297158,1104551714,1308170196,1437660547,1239383177,1240093240,1337389368,1392484712
398,Kazakhstan,547948,338051,4100190,4402155,4451798,11474193,4700109,1219794,1050116,6804489,3196350
400,Jordan,4165792,18157127,13127811,16195015,16011428,24400836,24517701,16503949,17138063,46129619,37228546
404,Kenya,2023204,931823,2961374,1157408,1370652,3524069,1839682,2361396,3599230,3657560,3812526
408,"Korea, North",10661,0,0,0,0,0,0,0,0,0,0
410,"Korea, South",456594877,363523962,365208689,466487310,550760258,627162505,621744241,506119765,750533336,970769277,964515818
414,Kuwait,142873197,189379708,200701442,128008218,169028470,172606103,240096672,106313779,196440875,228061137,239459599
417,Kyrgyzstan,336014,0,0,159660,3234,65828,8647,895193,3424,46750,596500
418,Laos,0,111980,0,0,473567,42387,40838,11916,2937,486103,1166984
422,Lebanon,5175247,9990675,15781769,16756756,14405789,23555991,69424189,59149491,42429304,20470860,33590813
426,Lesotho,0,0,0,0,0,0,433755,10254,0,16510,0
428,Latvia,3339186,1162559,513140,3217695,2702839,3052859,1262176,1780269,2380285,2852628,3121840
430,Liberia,851751,475050,1010237,1209479,929366,1269944,1556424,1277165,1722919,3323819,2008247
434,Libya,0,0,0,57125,1712332,7192967,2160579,5201365,786028,152942,1734125
438,Liechtenstein,926995,153441,6404,234960,580653,295697,266271,68746,18508,94230,266397
440,Lithuania,1740280,841163,547414,1036181,1535979,4661194,3393440,2745469,2129075,4384543,5967832
442,Luxembourg,16258063,15876708,12927214,5576025,4597869,17865234,32488454,20970602,20860891,34923676,40592383
446,Macau,90290,60932,74384,164362,438483,1090832,760220,150977,641417,1001656,802106
450,Madagascar,36113,0,170575,218582,101592,183214,1160200,846410,641137,1341204,1548834
454,Malawi,5534,25535,0,0,147915,696974,181366,85959,25524,74338,75182
458,Malaysia,138971819,112887901,107169812,77665312,61516319,69402444,95697938,92157734,86379390,75287462,96616711
462,Maldives,101492,44169,78430,135008,1925486,884151,556631,168930,181845,456271,268966
466,Mali,332485,48831,150707,0,10041,128043,23390,0,3960,55890,0
470,Malta,453483,356743,470967,142402,202703,329693,1682771,387869,595339,336894,484653
474,Martinique,0,335518,1199143,238411,14606,164052,24680,50269,189147,242581,525587
478,Mauritania,6600,84506,87507,169882,134007,181293,141234,28140,113746,138904,88595
480,Mauritius,73936,294367,455438,82999,898756,111138,219956,254351,1503204,515797,240149
