id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
242,Fiji,38479,137131,51668,339083,221577,970142,566599,655122,573260,388906,796651
246,Finland,42138108,70909926,67654511,66964155,82699123,82753840,96808162,51440506,82104846,116002728,129958194
250,France,352412300,327941654,430265540,439358975,401905273,342376276,416785539,276859091,363906548,332505850,352719757
254,French Guiana,58172,17795,22552,0,35102,6814,6388,3829,128940,0,62786
258,French Polynesia,334735,386216,384997,355138,386774,647438,802853,686535,584143,471230,309175
260,French Southern and Antarctic Lands,0,0,0,4190,41104,138155,0,0,38902,2748,3522
262,Djibouti,35640,37258,16500,235689,1209058,753795,2004602,5087151,375354,437555,116250
266,Gabon,38823,6528,22940,107076,62184,435062,452063,313336,350681,349077,1147864
268,Georgia,287992,231325,657187,669653,2327014,2301638,5658019,1210411,3126051,958550,838285
270,Gambia,3000,130180,121335,116850,28000,48286,8000,196246,116300,128700,301830
276,Germany,428940234,436218008,551710342,617228249,687295814,788375924,764286450,694068379,781945284,734271218,728121463
288,Ghana,4073533,6172600,9663022,11272826,8484941,5499770,6197565,3703225,5894130,6486800,9813330
292,Gibraltar,42174,0,0,0,19342,103357,16697,264632,67981,3170,19303
296,Kiribati,0,0,0,12300,0,92403,45015,20404,80882,56412,35600
300,Greece,8239516,10547810,14562194,10858763,17827568,19519163,17905439,14094978,10418681,9307249,6700270
304,Greenland,179824,233257,364334,407179,488497,771099,1083957,972473,634603,687396,915652
308,Grenada,166556,172569,122236,345762,158304,82292,257890,54851,85954,161164,218912
312,Guadeloupe,69033,102145,91876,216612,38223,455724,270303,86094,60341,97661,77810
320,Guatemala,5673588,7504263,6953362,13351020,11546727,14808107,14050099,13175627,9282870,12836457,15833646
324,Guinea,779822,770135,58057,39131,72633,87567,685115,386125,247104,2089361,408782
328,Guyana,599443,491112,416730,372756,900458,775025,742654,948411,1445564,1145960,1463117
332,Haiti,8156669,7636919,9013801,1896274,416643,3117456,1619802,4132593,4657107,3322903,2040891
334,Heard and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0
336,Vatican City,0,0,0,57608,0,94211,0,0,0,0,0
340,Honduras,2607329,5164996,9697838,6318234,6926574,8970983,8530620,7724591,4374360,6846966,16954759
344,Hong Kong,322086555,284427730,295317018,466117375,406828733,325689512,350914977,310574388,386728438,386355633,450374358
348,Hungary,17531792,9811252,14243281,14063503,19891845,26391332,27216313,31440954,52997341,62389711,49739288
