id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
250,France,84146536,94946762,126266279,135958700,134939386,133974681,149336655,152774806,175884886,185911005,224874253
254,French Guiana,0,0,0,30762,15395,27534,206246,121213,147502,84441,91947
258,French Polynesia,742372,267476,212495,437072,422791,332317,425849,290492,572875,228191,209485
260,French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,0
262,Djibouti,0,39000,92650,0,183910,1005239,4317795,894159,94056,5399,40808
266,Gabon,0,102520,92071,120805,15276,248217,47916,105172,30470,1180156,60275
268,Georgia,2954882,549914,2381730,3430803,593069,132683,1564218,113307,465683,9805323,2517321
270,Gambia,41882,98056,101559,99759,54909,3311,20953,35797,40667,10000,40811
276,Germany,241728075,236891819,271998240,310991288,327491961,310380976,385755539,384721491,344640710,396415917,256045515
288,Ghana,682662,1125276,2288174,1397193,1179589,2730321,3314365,3273167,10174431,12135997,12153737
292,Gibraltar,48275,13283,0,69244,9069,9177,2612,0,80824,5816,0
296,Kiribati,0,0,0,0,0,0,0,41207,0,0,2612
300,Greece,10895886,9140788,12735951,17466477,8145124,5205171,26130089,5180963,4783193,10069721,7805972
304,Greenland,2780,0,0,0,0,0,10500,0,0,0,0
308,Grenada,138789,107142,65804,216093,115487,263599,157536,242875,149877,164379,140190
312,Guadeloupe,156464,4688,12725,67458,53248,140835,43258,166529,197957,118737,25785
320,Guatemala,7537307,9700670,13370710,17521540,18368435,17764568,16159248,15890277,22595779,20789988,19843186
324,Guinea,149031,238146,0,53599,49958,45557,33250,86884,20804,11225,14710
328,Guyana,135654,119174,214958,586997,610895,268299,3695275,270945,534276,482403,627978
332,Haiti,499538,349596,3159778,33908278,34546740,5603034,724592,8699429,22679920,14645403,17000058
334,Heard and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0
336,Vatican City,0,0,0,0,8855,0,0,0,0,0,15000
340,Honduras,2493382,3189990,5331501,6887574,6947073,7157400,9874241,6637877,12257658,9998783,7767055
344,Hong Kong,132191140,176002215,187346763,135220294,158840613,120171100,126553475,100802013,125924388,130968625,151686362
348,Hungary,4581290,4691600,4315471,8657414,20183850,17222167,25607152,14436675,18194852,19586273,14907504
352,Iceland,350377,254319,767045,2710259,3121827,2694551,1992468,792506,798504,712336,1693745
356,India,21296420,22910059,43509397,48487560,54871374,103675233,79185416,76123884,131962248,123781438,132748430
360,Indonesia,22453623,18592125,29503142,25486085,24969514,26862308,33264118,37796959,79450660,75708528,135929974
364,Iran,0,148834,0,20315,272000,105910,287086,128113,382431,693810,775836
368,Iraq,0,1435919,926818,3833757,5218678,4887783,6684744,9569785,3033301,1891521,7425316
372,Ireland,138024927,108544576,68524625,70114133,74546899,56987804,60806158,38464089,52887338,38506907,52238395
376,Israel,30231494,31045212,28479114,39100858,44140380,80001072,85023464,52992709,84692997,144128272,100297009
380,Italy,148664115,186666202,241068277,231284544,155053853,141439280,142050281,120935864,138521567,175084393,212155683
384,Cote d'Ivoire,91335,115438,234281,242593,869194,1112796,311027,180493,1963090,3559391,5641621
388,Jamaica,2115282,5324894,4714490,5602788,5431112,9666122,12749280,3245654,8010113,6674044,6114384
392,Japan,311213289,419928187,433556826,506332732,546938097,658657238,695818931,530584523,595980578,591308021,650669235
398,Kazakhstan,2054494,393501,616226,2448557,1944397,2429097,3600208,1693962,931779,1764421,2906223
400,Jordan,1001068,1079002,2434585,2911970,3018246,3139360,6008468,6768706,5804592,16631328,12614602
404,Kenya,1881235,9085553,1418856,873050,1522431,5811967,5778970,3883935,4236383,2666926,1489755
408,"Korea, North",0,0,0,0,0,0,0,0,0,0,0
410,"Korea, South",114987223,83596873,113434160,571958312,1646516132,1252062647,1007242310,275274789,655304652,608396361,709517615
414,Kuwait,7859589,7587224,25805329,20839240,39639066,36850315,23839903,31682277,29759412,105254413,62467703
417,Kyrgyzstan,173744,32243,8147,129249,4748,11845,128748,33957,4526,1467069,0
418,Laos,0,18853,0,0,3198,13879,85290,14524,15150,14681,27492
422,Lebanon,1126035,3040365,3090519,2783762,1836195,2298950,6834474,6645807,14275534,3846948,4216047
426,Lesotho,0,0,0,22315,0,7200,11253,0,0,0,8732
428,Latvia,563885,561383,290482,757783,979599,423259,634701,951237,1263426,3802635,3171572
430,Liberia,297045,12531,62537,332513,0,175072,824544,24104,327311,245549,237372
