id,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,-0.014132619,0.073467766,0.052831818,0.070046537,0.100137717,0.013021045,-0.276504541,0.370930324,0.139269435,0.115661413
4,Afghanistan,-0.681889285,1.911815648,0.083364955,0.563600678,0.170182194,2.19854823,63.433367,-0.926546312,5.696850496,-0.896704692
8,Albania,57.76054732,-0.943453709,12.57970144,-0.572239947,-0.309490754,3.349325177,-0.184603431,-0.322973837,-0.408445058,0.441939613
12,Algeria,4.964024411,0.082931476,5.056171417,-0.165858259,1.414854183,-0.518955864,1.56939459,0.677172692,-0.433068558,-0.452264164
20,Andorra,3.683418088,0,0,0,0,-0.144608906,0,0,0,0.111049067
24,Angola,0.843530528,-0.627482487,0.945053328,1.980973321,0.922941467,0.297456299,0.117843551,0.320615482,0.312627907,0.764093602
28,Antigua and Barbuda,0.117822751,0.7115098,2.59958986,-0.508083291,0.141291788,-0.220802361,-0.569251847,-0.28590496,0.280977895,0.090705867
31,Azerbaijan,2.361330602,-0.257380835,-0.05738643,1.159502093,-0.032940189,-0.412378521,2.747560273,-0.229097149,1.916338719,5.909753547
32,Argentina,0.164948904,0.371584573,0.169368853,0.13738063,0.160994177,0.143093746,-0.369921927,0.069273513,0.213525128,-0.27537464
36,Australia,-0.058884575,-0.106258001,-0.205427373,-0.060861415,0.036549494,-0.009819767,-0.274662299,0.26581219,1.130974875,0.256055094
40,Austria,-0.451416507,-0.063417126,0.723587242,0.056221128,-0.31346862,-0.450286916,-0.639662345,-0.064026321,-0.018281447,-0.017617714
44,Bahamas,-0.071958677,0.119044445,-0.257230444,0.530721385,0.096131171,-0.486814885,0.200258954,0.13806095,0.046888358,-0.323087392
48,Bahrain,0.066453289,-0.349467028,0.414834831,0.00344298,0.51674277,0.770247943,-0.499048359,0.886266025,0.293926184,0.772455262
50,Bangladesh,0.401297949,0.357437396,-0.373284172,-0.369973297,2.004853818,-0.189416015,3.797239581,-0.252855611,-0.605893291,1.604367671
51,Armenia,-0.275440816,-0.139692534,0.689691055,-0.612746171,0.117762954,2.309341259,0.528656868,-0.792375179,-0.004748538,0.990714696
52,Barbados,0.74050226,-0.2042882,-0.100466808,-0.06157688,-0.158296938,0.03105025,0.199445044,0.898124855,-0.029092463,-0.416545675
56,Belgium,-0.080814278,0.012085141,0.029868723,-0.018746841,0.055549222,0.160945068,-0.028897632,0.015134644,0.322487912,0.027455109
60,Bermuda,0.104525557,-0.10599398,0.287068587,0.427229432,-0.226454927,0.370516262,0.352167923,0.153705953,-0.399806245,-0.676852188
64,Bhutan,0,0,0,0,0,0,0,0.383155089,0,0
68,Bolivia,-0.676789372,-0.349639147,1.908408348,1.003535683,0.064283918,-0.43919543,1.545919836,1.079970336,0.343308606,0.621952859
70,Bosnia and Herzegovina,-0.280684692,-0.874297957,2.054443157,0.455466464,5.53329611,2.663291875,0.835378011,-0.862838776,-0.168580837,6.594206991
72,Botswana,0,0,0.130124777,5.857480847,-0.320715659,0.485681807,0.6489166,1.657481637,-0.47216082,2.292098058
76,Brazil,-0.132041334,0.327819729,0.252083281,-0.119440388,0.085757236,0.131674506,-0.05623324,0.415100475,0.29714035,-0.088577302
84,Belize,1.22045273,-0.218496219,-0.261761606,0.00167847,-0.400734215,2.639105016,-0.91652386,5.725556925,0.087528424,0.063779748
86,British Indian Ocean Territories,0,0,0,0,0,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0,0,0,0,0,0
92,British Virgin Islands,6.585988451,-0.368665628,1.794770277,0.49855009,0.146390303,-0.504729092,0.617015748,0.433420023,0.248491775,-0.20800439
96,Brunei,2.309933775,-0.311673822,1.034659441,0.191796312,-0.492458258,4.211857859,-0.777731267,1.390629157,0.745559881,-0.091075912
100,Bulgaria,0.340027568,0.199240163,0.615365078,-0.413131052,1.503058374,0.324074817,-0.465078628,0.070428902,-0.538704482,1.454965704
104,Burma,-0.765576159,0,0,2.597561361,-0.84642807,0,0,28.96830189,-0.826345657,-0.091693093
108,Burundi,0,0,0,0,0,0,0,-0.203575548,0,0
