id,Country,2009,2010,2011,2012
0,World Total,-0.27648306,0.234782828,0.128142963,0.062558579
4,Afghanistan,4.725348244,-0.757707636,-0.85158261,761.9388222
8,Albania,5.74001857,1.444276071,-0.615580792,9.30531833
12,Algeria,-0.027406712,2.055987372,-0.999911733,827.1805493
20,Andorra,0,0,0,0
24,Angola,-0.693776368,-0.753491982,-0.999961704,-0.06559878
28,Antigua and Barbuda,-0.345259735,0.708589126,0.014382856,-0.131572687
31,Azerbaijan,0,0,0,0.982865924
32,Argentina,-0.277874972,-0.041404525,-0.054174567,0.043806886
36,Australia,-0.26950182,0.518041113,1.214318411,-0.318205125
40,Austria,-0.377618756,0.827418755,0.510882167,-0.326085288
44,Bahamas,-0.430239515,0.755455056,1.378030096,-0.609305774
48,Bahrain,2.166292843,0.26344565,-0.007033879,0.052163834
50,Bangladesh,0.001729195,0.499280561,0.34580555,0.057940947
51,Armenia,-0.320804628,0.193814397,-0.883433612,0.388248559
52,Barbados,-0.966264938,200.102,0.2832667,-0.82573164
56,Belgium,-0.400767236,0.227117656,-0.088916278,0.401819357
60,Bermuda,-0.324723023,-0.391508158,-0.070864198,2.123173
64,Bhutan,0,0,0,0.103682008
68,Bolivia,4.323836133,0.081387,-0.020518009,0.303425686
70,Bosnia and Herzegovina,-0.976155943,0.157973212,2.472970909,-0.520105571
72,Botswana,0,0,0,97.88537833
76,Brazil,-0.567589338,0.992202986,0.397466918,0.01721471
84,Belize,0,1.158,-0.329749768,4.559734513
86,British Indian Ocean Territories,0,0,0,0
90,Solomon Islands,0,0,0,0
92,British Virgin Islands,0.104350744,0,0,1.47602018
96,Brunei,-0.663634168,3.887745333,-0.70677244,0
100,Bulgaria,-0.093970637,0.693957679,0.724469405,0.314444066
104,Burma,0,0,0,0
108,Burundi,0,0,0,0
112,Belarus,-0.322268222,0.688217907,0.449971101,-0.300505176
116,Cambodia,-0.386240068,0.509703949,0.083832366,-0.142717129
120,Cameroon,2.701413687,-0.230494011,-0.491343796,0.0140211
124,Canada,-0.328404973,0.30486024,0.135739376,0.004515493
132,Cape Verde,1.806168393,0,0,0
136,Cayman Islands,0.89581604,1.393551512,1.940668896,-0.927926581
140,Central African Republic,-0.259120461,5.360629982,-0.954460289,0
144,Sri Lanka,-0.04282915,0.017460433,0.20012241,0.050562667
148,Chad,0,0,0,0
152,Chile,-0.124130514,0.522459167,-0.022893306,0.158079176
156,China,-0.175349339,0.195403428,0.179417945,0.046361749
158,Taiwan,-0.289027696,0.190979583,0.233721313,0.047137108
162,Christmas Island,0,0,0,0.112083333
166,Cocos (Keeling) Islands,0,0,0,8.937248996
170,Colombia,-0.725598693,0.368343533,0.296940798,0.006419431
174,Comoros,0,0,0,0
175,Mayotte,0,0,0,0
178,Congo (Brazzaville),-0.869911478,0,0,0.899410486
180,Congo (Kinshasa),0.34869825,87.00601266,-0.836453026,-0.76864601
184,Cook Islands,0,0,0,-0.952074756
188,Costa Rica,0.251556491,-0.384743501,0.027941014,-0.6825684
191,Croatia,-0.441207317,0.80500204,-0.243599519,0.661094145
192,Cuba,0,0,0,0
196,Cyprus,0.019665288,-0.164470216,0.403364879,-0.07850515
203,Czech Republic,-0.394979555,0.401779047,0.284768384,0.234958557
204,Benin,0,0,0,0
208,Denmark,-0.13667838,-0.001918223,0.065310589,-0.110970587
212,Dominica,0,0,0,0
214,Dominican Republic,0.113764562,0.088219726,0.309592726,0.012635781
218,Ecuador,0.949616487,-0.342280332,-0.76500454,-0.569269724
222,El Salvador,-0.206232471,1.954618301,0.498300617,0.561480779
226,Equatorial Guinea,0,0,0,40.16843647
231,Ethiopia,0.167587576,-0.133827845,-0.313742346,1.834511453
232,Eritrea,0,0,0,0
233,Estonia,1.016862807,-0.169001776,1.276720746,0.122397164
234,Faroe Islands,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,0
242,Fiji,0,0,0,0
246,Finland,-0.325034612,0.105770836,0.10677135,0.254740175
250,France,-0.21942593,-0.025719661,0.046328703,0.142169985
254,French Guiana,0,0,0,0
258,French Polynesia,2.947272727,-0.634193152,1.833158447,1.885185185
